name_vi,name_en,cas,formula,appendix,group_no,table_ref,threshold_kg,loai
"Các hợp chất N,N-Dialkyl (Me, Et, n-Pr hoặc i-Pr) aminoethane-2-ol","N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethane-2-ols",,,III,1,B,,2B
"Các hợp chất N,N-Dialkyl (Me, Et, n-Pr hoặc i-Pr) aminoethyl-2-chloride","N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethyl-2-chlorides",,,III,1,B,,2B
"Các hợp chất N,N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethane-2-thiol và các muối proton hóa tương ứng","N, N-Dialkyl (Me, Et, n-Pr or i-Pr) aminoethane-2-thiols and corresponding protonated salts",,,III,1,B,,2B
Các hợp chất xyanua,The cyanide compound,,,III,1,B,,Khác
Decabromo diphenyl ete (DBDE),Decabromodiphenyl ether (DBDE),1163-19-5,C12Br10O,III,2,C,,3C
Dechlorane Plus,Dechlorane Plus,13560-89-9,,III,2,C,,3C
"Dibenz (a, h) anthracen","Dibenz (a, h) anthracene",53-70-3,C22H14,III,1,B,,Khác
Diboron trioxist,Diboron trioxide,1303-86-2,B2O3,III,1,B,,Khác
Dibutyl phthalat,Dibutyl phthalate,84-74-2,C16H22O4,III,1,B,,Khác
Dicloran,"2,6-Dichlor-4-nitroanilin",99-30-9,C6H4Cl2N2O2,III,1,B,,Khác
Dicofol,"2,2,2-trichloro-1,1-bis (4-chloro phenyl) ethanol",115-32-2,C14H9Cl5O,III,1,B,,Khác
Dieldrin,Dieldrin,60-57-1,C16H14Cl2O3,III,2,C,,3C
Diethyl phosphite,Diethyl phosphite,762-04-9,C4H11O3P,III,2,B,,3B
Diethylamine,N-Ethylethanamine,109-89-7,C4H11N,III,2,A,,Nhóm 2 (IVC)
Dietyl sunfat,Dietyl sulfate,64-67-5,C4H10O4S,III,1,B,,Khác
Diisobutyl amin,Diisobutyl amine,110-96-3,C8H19N,III,1,B,,Khác
Diisobutyl phthalat (DIBP),Diisobutyl phthalate (DIBP),84-69-5,C16H22O4,III,1,B,,Khác
Dimethyl methyl phosphonate,Dimethyl methyl phosphonate,756-79-6,C3H9O3P,III,1,B,,2B
Dimethyl phosphite,Dimethyl phosphite,868-85-9,C2H7O3P,III,2,B,,3B
Dinitro-o-cresol,Dinitro-o-cresol,534-52-1,C7H6N2O5,III,2,C,,3C
Dinitơ monoxit,Nitrous oxide,10024-97-2,N2O,III,1,B,,Khác
"Dinoseb (6-sec-butyl-2,4-dinitro phenol)","Dinoseb (6-sec-butyl-2,4-dinitro phenol)",88-85-7,C10H12N2O5,III,2,C,,3C
Dodecaclo pentaxyclodecan,Dodecachloropentacyclodecane (mirex),2385-85-5,C10Cl12,III,2,C,,3C
Endosulfan,Endosulfane,115-29-7,C25H6O3S,III,2,C,,3C
Endrin,Endrine,72-20-8,C12H8Cl6O,III,2,C,,3C
Ete octabrom diphenyl thương mại (bao gồm Hexabromodiphenyl ete và heptabromo diphenyl alkan),Commercial octabromodiphenyl ether (including Hexabromodiphenyl ether and Heptabromodiphenyl ether),36483-60-0,,III,2,C,,3C
Ethyl ether (Diethyl ether),1 - 1 - Oxybisethane Diethyl ether,60-29-7,C4H10O,III,2,A,,Nhóm 2 (IVC)
Ethyldiethanolamine,Ethyldiethanolamine,139-87-7,C6H15NO2,III,2,B,,3B
Ethylene diacetate,"1,2-Ethanediol diacetate",111-55-7,C6H10O4,III,2,A,,Nhóm 2 (IVC)
Etyl benzen,Ethyl benzene,100-41-4,C8H10,III,1,B,,Khác
Etyl clo format,Ethyl chloro formate,541-41-3,C3H5ClO2,III,1,B,,Khác
Etylen oxit,Ethylene oxide,75-21-8,C2H4O,III,2,C,,3C
Flo,Fluorine,7782-41-4,F2,III,1,B,,Khác
Floraxetamit,Fluoracetamide,640-19-7,C2H4FNO,III,2,C,,3C
Formaldehit,Formaldehyde,50-00-0,CH2O,III,1,B,,Khác
Formamide,Methanamide; Carbamaldehyde,75-12-7,CH3NO,III,2,A,,Nhóm 2 (IVC)
Furan,Furan,110-00-9,C4H4O,III,1,B,,Khác
Gamma-butyro lactone (GBL),Dihydrofuran-2(3H)-one,96-48-0,C4H6O2,III,1,A,,1
Hepta cloran,Hepta chlorane,76-44-8,C10H5Cl7,III,2,C,,3C
Hexabrom cyclododecan (HBCD),Hexabromocyclododecane (HBCD),25637-99-4,C12H18Br6,III,2,C,,3C
Hexachloxyclohexan,Hexachloro cyclohexane,608-73-1,C6H6Cl6,III,2,C,,3C
Hexaclo benzen,Hexachloro benzene,118-74-1,C6Cl6,III,2,C,,3C
Hexametylen diisoxyanat,"Hexamethylene diisocyanate (1,6-HexamethyIene diisocyanate)",822-06-0,C8H12N2O2,III,1,B,,Khác
Hydrazin và các dạng ngậm nước,Hydrazine and hydrated,302-01-2,N2H4,III,1,B,,Khác
Hydrogen cyanide,Hydrogen cyanide,74-90-8,HCN,III,2,B,,3A
Hydroquinon,Hydroquinone,123-31-9,C6H6O2,III,1,B,,Khác
Indomethacin,Indomethacine,53-86-1,C19H16ClNO4,III,1,B,,Khác
Isophoron diisoxyanat,Isophorone diisocyanate,4098-71-9,C12H18N2O2,III,1,B,,Khác
Isopropyl isocyanat,Isopropyl isocyanate,1795-48-8,C4H7NO,III,1,B,,Khác
Isosafrole,"1,3 - Benzodioxole - 5 - (1 - propenyl)",120-58-1,C10H10O2,III,1,A,,1
Kali permanganat,Potassium permanganate,7722-64-7,KMnO4,III,2,A,,Nhóm 2 (IVC)
Kali sulfua,Potassium sulfide,1312-73-8,K2S,III,1,B,,Khác
"Lindan (gamma-1,2,3,4,5,6-Hexaclo xyclohexan)","Lindane (gamma-1,2,3,4,5,6-Hexachlorocyclohexane)",58-89-9,C6H6Cl6,III,2,C,,3C
Liti hydrit,Lithium hydride,7580-67-8,LiH,III,1,B,,Khác
Liti hydroxit,Lithium hydroxide,1310-65-2,LiOH,III,1,B,,Khác
Lysergic acid,"(8β) - 9,10 - didehydro - 6 - methylergolin - 8 - carboxylic acid",82-58-6,C16H16N2O2,III,1,A,,1
Magie phốtphua,Magnesium phosphide,12057-74-8,Mg3P2,III,1,B,,Khác
Maleic anhydrit,Maleic anhydride,108-31-6,C4H2O3,III,1,B,,Khác
Malono nitril,Malono nitril,109-77-3,C3H2N2,III,1,B,,Khác
Metan sunphonyl clorit,Methane sulfonyl chloride,124-63-0,CH3ClO2S,III,1,B,,Khác
Metanol,Methanol,67-56-1,CH4O,III,1,B,,Khác
Methamidophos,Methamidophos,10265-92-6,C2H8NO2SP,III,2,C,,3C
Methyl ethyl ketone (MEK),2-Butanone,78-93-3,C4H8O,III,2,A,,Nhóm 2 (IVC)
Methylamine,Aminomethane,74-89-5,CH5N,III,2,A,,Nhóm 2 (IVC)
Methyldiethanolamine,Methyldiethanolamine,105-59-9,C5H13NO2,III,2,B,,3B
Methylphosphonyl dichloride,Methylphosphonyl dichloride,676-97-1,CH3Cl2OP,III,1,B,,2B
Metyl isothioxyanat,Methyl isothiocyanate,556-61-6,C2H3NS,III,1,B,,Khác
Metyl isoxyanat,Methyl isocyanate,624-83-9,C2H3NO,III,1,B,,Khác
Metyl orthosilicat (Tetramethoxy silan),Methyl orthosilicate,681-84-5,C4H12O4Si,III,1,B,,Khác
Metyl oxiran (Propylen oxit),Methyl oxirane (Propylene oxide),75-56-9,C3H6O,III,1,B,,Khác
Metyl vinyl keton,Methyl vinyl ketone,78-94-4,C4H6O,III,1,B,,Khác
Metyl-parathion,Methyl-parathion,298-00-0,C8H10NO5PS,III,2,C,,3C
Monocrotophos,Monocrotophos (Dimethyl (E)-1-methyl-2- (methyl carbamoyl) vinyl phosphate),6923-22-4,C7H14NO5P,III,2,C,,3C
N - acetylanthranilic acid,1 - Acetylamino - 2 - carboxybenzene,89-52-1,C9H9NO3,III,1,A,,1
"N, N-Diethylaminoethanol","N, N-Diethylaminoethanol",100-37-8,C6H15NO,III,1,B,,2B
"N, N-Dimethylaminoethanol","N, N-Dimethylaminoethanol",108-01-0,C4H11NO,III,1,B,,2B
"N, N-Dimetyl axetamit","N, N-dimethyl acetamide",127-19-5,C4H9NO,III,1,B,,Khác
"N,N-Dialkyl (Me, Et, n-Pr or i-Pr) phosphoramidic dihalides","Các hợp chất N,N-Dialkyl (Me, Et, n-Pr hoặc i-Pr) phosphoramidic dihalide",,,III,1,B,,2B
N-Butyl isoxyanat,N-Butyl isocyanate,111-36-4,C5H9NO,III,1,B,,Khác
Naphtalen polyclo hóa (PCN),Polychlorinated naphthalene (PCN),70776-03-3,,III,2,C,,3C
Natri azid,Sodium azide,26628-22-8,NaN3,III,1,B,,Khác
Natri flo axetat,Sodium fluoro acetate,62-74-8,C2H3FNaO2,III,1,B,,Khác
Nicotin,Nicotine (3-(1-Methyl-2-pyrrolidinyl) pyridine),54-11-5,C10H14N2,III,1,B,,Khác
Nicotin tartrat,Nicotine tartrate,65-31-6,C18H26N2O12,III,1,B,,Khác
Niken nitrat,Nickel (II) nitrate,13138-45-9,Ni(NO3)2,III,1,B,,Khác
Niken tetra carbonyl,Nickel tetra carbonyle,13463-39-3,Ni(CO)4,III,1,B,,Khác
Nitroethane,Nitroethane,79-24-3,C2H5NO2,III,2,A,,Nhóm 2 (IVC)
Nitrotoluen,o-nitrotoluene,88-72-2,C7H7NO3,III,1,B,,Khác
o-Bromo benzo nitrile,2-Bromobenzonitrile,2042-37-7,C7H4BrN,III,1,A,,1
o-chloro benzo nitrile,2-Chlorobenzonitrile,873-32-5,C7H4ClN,III,1,A,,1
O-Ethyl S-phenyl ethylphosphonothiolothionate,O-Ethyl S-phenyl ethylphosphonothiolothionate,944-22-9,C10H15OPS2,III,1,B,,2B
Osmium tetroxit,Osmium tetroxide,20816-12-0,OsO4,III,1,B,,Khác
Paraquat,Paraquate,1910-42-5,C12H14Cl2N2,III,1,B,,Khác
Parathion,Parathion,56-38-2,C10H14NO5PS,III,2,C,,3C
Pentabromdiphenyl ete (bao gồm Tetrabromdiphenyl ete và pentabromdiphenyl ete),Commercial pentabromodiphenyl ether (including tetrabromo diphenyl ether and pentabromo diphenyl ether),32534-81-9,,III,2,C,,3C
Pentaclo benzen (PeCB),Pentachlorobenzene (PeCB),608-93-5,C6HCl5,III,2,C,,3C
Pentaclophenol và muối và este của nó,Pentachlorophenol and its salts and esters,87-86-5,C6HCl5O,III,2,C,,3C
"Perflo octan sulfonic axit, perflo octan sulfonat, perflo octan sulfoamit và perflo octan sunfonyl","Perfluoro octane sulfonic acid, perfluoro octane sulfonates, perfluoro octane sulfo amides and perfluoro octane sulfonyls",1691-99-2,,III,2,C,,3C
"PFIB: 1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-1-propene","PFIB: 1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-1-propene",382-21-8,C4F8,III,1,B,,2A
Phenol,Phenol,108-95-2,C6H6O,III,1,B,,Khác
Phenol phthalein,Phenol phthalein,77-09-8,C20H14O4,III,1,B,,Khác
Phenyl clo fomat,Phenyl chloro formate,1885-14-9,C7H5ClO2,III,1,B,,Khác
Phenyl isoxyanat,Phenyl isocyanate,103-71-9,C7H5NO,III,1,B,,Khác
Phenyl mercaptan,Phenyl mercaptan (Thiophenol),108-98-5,C6H6S,III,1,B,,Khác
Phenylacetic acid,Benzeneacetic acid,103-82-2,C8H8O2,III,1,A,,1
Phosgene: Carbonyl dichloride,Phosgene: Carbonyl dichloride,75-44-5,CCl2O,III,2,B,,3A
Phosphamidon,Phosphamidon,13171-21-6,C10H19ClNO5P,III,2,C,,3C
Phosphorus oxychloride,Phosphorus oxychloride,10025-87-3,Cl3OP,III,2,B,,3B
Phosphorus pentachloride,Phosphorus pentachloride,10026-13-8,PCl5,III,2,B,,3B
Phosphorus trichloride,Phosphorus trichloride,,Cl3P,III,2,B,,3B
"Pinacolyl alcohol: 3,3-Dimethyl butan-2-ol","Pinacolyl alcohol: 3,3-Dimethylbutan-2-ol",464-07-3,C6H14O,III,1,B,,2B
Piperidine,Piperidine,110-89-4,C5H11N,III,1,A,,1
Piperonal,"1,3 - Benzodioxole, 5 - carboxaldehyde",120-57-0,C8H6O3,III,1,A,,1
Piperonyl methyl ketone (PMK),"3,4 - methylenedioxypheny - 2 - propanone",4676-39-5,C10H10O3,III,1,A,,1
Polychlorinated,Polychlorinated,,,III,2,C,,3C
Propiophenone (P1P),1-phenyl-1-propanone,93-55-0,C9H10O,III,1,A,,1
Propoxur,Propoxure,114-26-1,C11H15NO3,III,1,B,,Khác
Quinuclidin-3-ol,Quinuclidin-3-ol,1619-34-7,C7H13NO,III,1,B,,2B
Rượu allyl,Allyl alcohol (2-Propen-l-ol),107-18-6,C3H6O,III,1,B,,Khác
Rượu propargyl,Propargyl alcohol,107-19-7,C3H4O,III,1,B,,Khác
Safrole,"1,3 - Benzodioxole, 5 - (2 -propenyl)",94-59-7,C10H10O2,III,1,A,,1
Stibi pentaclorua,Antimony pentachloride,7647-18-9,SbCl5,III,1,B,,Khác
Strychnin,Strychnine,57-24-9,C21H22N2O2,III,1,B,,Khác
Sulfur dichloride,Sulfur dichloride,10545-99-0,Cl2S,III,2,B,,3B
Sulfur monochloride,Sulfur monochloride,10025-67-9,Cl2S2,III,2,B,,3B
Tali,Thallium,7440-28-0,Tl,III,1,B,,Khác
Tartaric acid và đồng phân,"2,3 - Dihydroxy butanedioic acid",526-83-0,C4H6O6,III,2,A,,Nhóm 2 (IVC)
Terphenyls clo hóa (PCTs),Polychlorinated terphenyls (PCTs),61788-33-8,C18H14-nCln (n=1-14),III,2,C,,3C
Thalidomit,Thalidomide,50-35-1,C13H10N2O4,III,1,B,,Khác
Thiabendazol,Thiabendazole,148-79-8,C10H7N3S,III,1,B,,Khác
Thiodicarb,Thiodicarb,59669-26-0,C10H18N4O4S3,III,1,B,,Khác
Thiodiglycol: Bis(2-hydroxyethyl) sulfide,Thiodiglycol: Bis(2-hydroxyethyl)sulfide,111-48-8,C4H10O2S,III,1,B,,2B
Thionyl chloride,Thionyl chloride,,Cl2OS,III,2,A,,Nhóm 2 (IVC)
Thionyl chloride,Thionyl chloride,,Cl2OS,III,2,B,,3B
Thiram,Thiram,137-26-8,C6H12N2S4,III,1,B,,Khác
Thiếc (IV) clorua,Stannic tetrachloride,7646-78-8,SnCl4,III,1,B,,Khác
Thủy ngân và các hợp chất của thủy ngân,Mercury and mercury compounds,,,III,1,B,,Khác
Toluene,Methyl benzene,108-88-3,C7H8,III,2,A,,Nhóm 2 (IVC)
Toluidin,Toluidine,95-53-4,C7H9N,III,1,B,,Khác
Toxaphen (Camphechlor),Toxaphene (Camphechlor),8001-35-2,C10H10Cl8,III,2,C,,3C
Tributyl amin,Tributyl amine,102-82-9,C12H27N,III,1,B,,Khác
Tributyltin,Tributyltin compounds,1461-22-9,,III,2,C,,3C
Triclo axetyl clorua,Trichloro acetyl chloride,76-02-8,C2Cl4O,III,1,B,,Khác
Triclo etylen,Trichloro ethylene,79-01-6,C2HCl3,III,1,B,,Khác
Tricresyl photphat,Tricresyl phosphate,1330-78-5,C21H21O4P,III,1,B,,Khác
Triethanol amine,Triethanolamine,102-71-6,C6H15NO3,III,2,B,,3B
Triethyl phosphite,Triethyl phosphite,122-52-1,C6H15O3P,III,2,B,,3B
Trimethyl phosphite,Trimethyl phosphite,121-45-9,C3H9O3P,III,2,B,,3B
"Tris (2,3-dibro propyl) photphat","Tris (2,3-dibromo propyl) phosphate",126-72-7,C9H15Br6PO4,III,2,C,,3C
Tris (2-clo etyl) photphat,Tris (2-chloro ethyl) phosphate,115-96-8,C6H12Cl3O4P,III,1,B,,Khác
UV-328,"2-(2H-Benzotriazol-2-yl)-4,6-di-tert-pentylphenol",25973-55-1,C22H29N3O,III,2,C,,3C
Vanadi pentoxit,Vanadium pentoxide,1314-62-1,V2O5,III,1,B,,Khác
Vinyl benzen,Vinyl benzene (styrene),100-42-5,C8H8,III,1,B,,Khác
Vinyl clorua,Vinyl chloride,75-01-4,C2H3Cl,III,1,B,,Khác
Xyclohexyl amin,Cyclohexyl amine,108-91-8,C6H13N,III,1,B,,Khác
(E)-2-Penten,"2-Pentene, (E)-",646-04-8,C5H10,IV,,A,5000,
(Z)-2-Penten,"2-Pentene, (Z)-",627-20-3,C5H10,IV,,A,5000,
1 -Guanyl-4-nitrosaminoguanyl-1 -tetrazen,1-guanyl-4-nitrosaminoguanyl-1 -tetrazene,109-27-3,C2H8N10O,IV,,A,10000,
"1,1 Diflo etan","Difluoroethane (Ethane, 1,1 -difluoro-)",75-37-6,C2H4F2,IV,,A,10000,
"1,1-Bis(tert-butylperoxy) xyclohexan (>80%)","1,1- Bis(tert-butylperoxy) xyclohexan (>80%)",3006-86-8,C14H28O4,IV,,A,10000,
"1,2,3,7,8,9-Hexaclo dibenzo-p-dioxin","1,2,3,7,8,9- Hexachlorodibenzo-p- dioxin",19408-74-3,C12H2Cl6O2,IV,,A,100,
"1,2-Dibrom etan","1,2-Dibromoethane (ethylene dibromide)",106-93-4,C2H4Br2,IV,,A,50000,
"1,3,5- Triamino- 2,4,6- trinitro benzen","1,3,5- Triamino-2,4,6-trinitrobenzene",3058-38-6,C6H6N6O6,IV,,A,10000,
"1,3,5-Trinitro benzen",Trinitrobenzene,99-35-4,C6H3N3O6,IV,,A,5000,
"1,3-Butadien","1,3-Butadiene",106-99-0,C4H6,IV,,A,10000,
"1,3-Pentadien","1,3-Pentadiene",504-60-9,C5H8,IV,,A,10000,
1-Brom-3- cloropropan,1-Bromo-3- chloropropane,109-70-6,C3H6BrCl,IV,,A,500,
1-Buten,1-Butene,106-98-9,C4H8,IV,,A,10000,
1-Clo propylene,"1-Chlopropylene (1-Propene, 1-chloro-)",590-21-6,C3H5Cl,IV,,A,10000,
1-Penten,1-Pentene,109-67-1,C5H10,IV,,A,5000,
"1-Propen-2-clo-1,3-diol diaxetat","1-propen-2-chloro-1,3-diol-diacetate",10118-77-6,C7H9ClO4,IV,,A,10,
"2,2-Bis(tert-butylperoxy) butan (>70%)","2,2- Bis(tert-butylperoxy) butane (>70%)",2167-23-9,C12H26O4,IV,,A,10000,
"2,2-Dihydro peroxypropan (>30%)","2,2 Dihydro peroxypropane (>30%)",2614-76-8,C3H8O4,IV,,A,10000,
"2,2-Dimetyl propan","2,2-Dimethylpropane (Propane, 2,2-dimethyl-)",463-82-1,C5H12,IV,,A,10000,
"2,2’, 4,4’, 6,6’-Hexanitro stilben","2,2’,4,4’,6,6’-hexanitrostilbene",20062-22-0,C14H6N6O12,IV,,A,10000,
"2,3,7,8-Tetraclo dibenzo-p-dioxin","2,3,7,8- tetrachlorodibenzo-p-dioxin",1746-01-6,C12H4Cl4O2,IV,,A,5000,
"2,4,6- Trinitroresorcinol","2,4,6- Trinitroresorcinol (styphnic acid)",82-71-3,C6H3N3O8,IV,,A,10000,
"2,4,6-Trinitroanisol","2,4,6-trinitroanisole",606-35-9,C7H5N3O7,IV,,A,10000,
"2,4,6-Trinitrophenetol","2,4,6- trinitrophenetole",4732-14-3,C8H7N3O7,IV,,A,10000,
"2,4,6-Trinitrophenol","2,4,6-Trinitrophenol (picric acid)",88-89-1,C6H3N3O7,IV,,A,10000,
"2,4,6-trinitrotoluen","2,4,6-trinitrotoluene",118-96-7,C7H5N3O6,IV,,A,10000,
"2,4-Toluen diisoxyanat","2,4-Toluene di-isocyanate",584-84-9,C9H6N2O2,IV,,A,10000,
"2,6-Toluen di-isoxyanat","2,6- Toluene di-isocyanate",91-08-7,C9H6N2O2,IV,,A,10000,
2-Buten,2-Butene,107-01-7,C4H8,IV,,A,10000,
2-Butenal,Crotonaldehyde (2-Butenal),4170-30-3,C4H6O,IV,,A,5000,
2-Clo propylene,"2-Chloropropylene (1-Propene, 2-chloro-)",557-98-2,C3H5Cl,IV,,A,10000,
2-Metyl 1-buten,2-Methyl-1 -butene,563-46-2,C5H10,IV,,A,10000,
2-Metyl 1-propen,"2-Methylpropene (1-Propene, 2-methyl-)",115-11-7,C4H8,IV,,A,10000,
2-Metyl-3-buten nitril,2-Methyl-3- butenenitrile,16529-56-9,C5H7N,IV,,A,500000,
2-xyano-2-propanol,2-cyanopropan-2-ol (acetone cyanohydrin),75-86-5,C4H7NO,IV,,A,5000,
"3,3,6,6,9,9-Hexametyl- 1,2,4,5-tetroxacyclononat (>75%)","33.6.6.9.9-Hexamethyl-1,2,4,5-tetroxacyclononate (>75%)",22397-33-7,C12H22O4,IV,,A,5000,
3-(2-Etylhexyloxy) propylamin,3-(2-Ethylhexyloxy) propylamin,5397-31-9,C11H25NO,IV,,A,50000,
3-Metyl 1-buten,3-Methyl -1-butene,563-45-1,C5H10,IV,,A,5000,
3-Metylpyridin,3-Methylpyridine,108-99-6,C6H7N,IV,,A,500,
"4,4-Metylen bis (2-clo anilin) và/hoặc muối của nó ở dạng bột","4,4’- Methylenebis (2-chloroaniline) and/or salts, in powder form",101-14-4,C13H12C12N2,IV,,A,10,
"5-hydroxy naphthalen-1,4-dion","5-Hydroxy-1,4-naphthalenedione",481-39-0,C10H6O3,IV,,A,10000,
Acrolein,Acrolein (2-Propenal),107-02-8,C3H4O,IV,,A,5000,
Acrylonitril,Acrylonitrile,107-13-1,C3H3N,IV,,A,50000,
Acryloyl clorua,Acryloyl chloride (2- Propenoyl chloride),814-68-6,C3H3ClO,IV,,A,5000,
Aldicarb,Aldicarb,116-06-3,C7H14N2O2S,IV,,A,5000,
Alylamin (2- Propen-1-amin),Allylamine (2- Propen-1-amine),107-11-9,C3H7N,IV,,A,5000,
Amoni nitrat và Hỗn hợp chứa Amoni nitrat ở thành phần khối lượng >70% và ≤ 80%,Ammonium nitrate,6484-52-2,NH4NO3,IV,,A,1250000,
Amoni nitrat và Hỗn hợp chứa Amoni nitrat ở thành phần khối lượng >80% và ≤98%,Ammonium nitrate,6484-52-2,NH4NO3,IV,,A,350000,
Amoni nitrat và Hỗn hợp chứa Amoni nitrat ở thành phần khối lượng ≤ 70%,Ammonium nitrate,6484-52-2,NH4NO3,IV,,A,5000000,
Amoni nitrat và hỗn hợp chứa Amoni nitrat ở thành phần khối lượng ≥ 98%,Ammonium nitrate,6484-52-2,NH4NO3,IV,,A,10000,
Amoniac khan,Ammonia (anhydrous),7664-41-7,NH3,IV,,A,50000,
"Anabasin (Pyridin,3-(2S)-2- piperidinyl)","Anabasine, (Pyridine,3-(2S)-2- piperidinyl-)",494-52-0,C10H14N2,IV,,A,50000,
Asen hydrua,Arsen trihydride (arsine),7784-42-1,AsH3,IV,,A,200,
Asen pentoxit,Arsenic pentoxide,1303-28-2,As2O5,IV,,A,1000,
Asen triclorua,Arsenous tricloride,7784-34-1,AsCl3,IV,,A,50000,
Asen trioxit,Arsenic trioxide,1327-53-3,As2O3,IV,,A,100,
Axetaldehit,Acetaldehyde,75-07-0,C2H4O,IV,,A,5000,
Axetylen,Acetylene,74-86-2,C2H2,IV,,A,5000,
Axit asenic và hoặc các muối asenat,Arsenic (V) acid and/or salts,,H3AsO4,IV,,A,1000,
Axit asenơ và các muối asenit,Arsenious (III) acid and/or salts,,HAsO2,IV,,A,100,
Axit dimetyl photphoramido xyanidic,Dimetylphosphoramid ocyanidic acid,63917-41-9,C3H7N2P,IV,,A,1000,
Axit flo axetic,Fluoroacetic acid,144-49-0,C2H3FO2,IV,,A,5000,
Axit hydroxyanic,Hydrocyanic acid,74-90-8,HCN,IV,,A,5000,
Axit nitric,Nitric acid (cone 80% or greater),7697-37-2,HNO3,IV,,A,5000,
Axit peraxetic (> 60%),Peracetic acid (> 60%),79-21-0,C2H4O3,IV,,A,5000,
Axit trinitrobenzoic,Trinitrobenzoic acid,129-66-8,C7H3N3O8,IV,,A,10000,
Azinphos-etyl,Azinphos-ethyl,2642-71-9,C12H16N3O3PS2,IV,,A,5000,
Azinphos-metyl,Azinphos-methyl,86-50-0,C10H12N3O3PS2,IV,,A,50000,
Bari azit,Barium azide,18810-58-7,Ba(N3)2,IV,,A,10000,
Beryli (dạng bột và các hợp chất),"Beryllium (powders, compounds)",7440-41-7,Be,IV,,A,100,
"Bis (2,4,6-trinitrophenyl) amin","Bis (2,4,6- trinitrophenyl) amine",131-73-7,C12H5N7O12,IV,,A,10000,
Bis (2- dimetylaminoetyl) (metyl)amin,Bis (2- dimethyl aminoethyl) (methyl)amin,3030-47-5,C9H23N3,IV,,A,50000,
Bis (2-clo etyl) sunfua,Bis (2-chloroethyl) sulphide,505-60-2,C4H8Cl2S,IV,,A,5000,
Bis (clo metyl) ete,Bis (chloromethyl) ether,542-88-1,C2H4Cl2O,IV,,A,50000,
Boron triclorua,"Boron trichloride (Borane, trichloro-)",10294-34-5,BCl3,IV,,A,5000,
Boron triflorua,"Boron trifluoride (Borane, trifluoro-)",,BF3,IV,,A,5000,
Brom,Bromine,7726-95-6,Br2,IV,,A,20000,
Brom triflo etylen,"Bromotrifluorethylene (Ethene, bromotrifluor o-)",598-73-2,C2BrF3,IV,,A,10000,
Butan,Butane,106-97-8,C4H10,IV,,A,10000,
Buten,Butene,25167-67-3,C4H8,IV,,A,10000,
Cacbofuran,Carbofuran,1563-66-2,C12H15NO3,IV,,A,5000,
Cacbon disunfua,Carbon disulfide,75-15-0,CS2,IV,,A,10000,
Cacbon oxysunfua,Carbon oxysulfide (Carbon oxide sulfide (COS)),463-58-1,COS,IV,,A,10000,
Cacbon phenothion,Carbon phenothion,786-19-6,C11H16ClO2PS3,IV,,A,5000,
Cacbonyl clorua (phosgen),Carbonyl dichloride (phosgene),75-44-5,CCl2O,IV,,A,300,
"Chì 2,4,6-trinitroresorcinoxit","Lead 2,4,6-trinitroresorcinoxide lead styphnate)",63918-97-8,C6HN3O8Pb,IV,,A,50000,
Chì azit,Lead azide,13424-46-9,PbN6,IV,,A,10000,
Clo,Chlorine,7782-50-5,Cl2,IV,,A,10000,
Clo dioxit,Chlorine dioxide (Chlorine oxide (ClO2)),10049-04-4,ClO2,IV,,A,5000,
Clo fenvinphos,Chlorfenvinphos,470-90-6,C12H14Cl3O4P,IV,,A,5000,
Clo trinitro benzen,Chlorotrinitro benzene,88-88-0,C6H2ClN3O6,IV,,A,5000,
Clormetyl metyl ete,Chloromethyl methyl ether,107-30-2,C2H5ClO,IV,,A,5000,
Cloroform,"Chloroform (methane, trichloro-)",67-66-3,CHCl3,IV,,A,5000,
"Coban kim loại và các hợp chất oxit, carbonnat, sulfua dạng bột","Cobalt metal, oxides, carbonates, sulphides, as powders",,,IV,,A,5000,
Crimidin,Crimidine,535-89-7,C7H10ClN3,IV,,A,5000,
Các ankyl chì,Lead alkyls,,,IV,,A,5000,
Các hợp chất xyanua,Cyanide compounds,,,IV,,A,5000,
Các khí hóa lỏng đặc biệt dễ cháy (bao gồm cả LPG) và khí thiên nhiên,Liquefied extremely flammable gases (including LPG) and natural gas,,,IV,,A,50000,
Các Polyclo dibenzo furan và Polyclodibenzo dioxin (bao gồm TCDD),Polychlorodibenzo-furans and Polychlorodibenzo-dioxins (including TCDD),33857-26-0,C12H6Cl2O2,IV,,A,1,
Demeton,Demeton,8065-48-3,C16H38O6P2S4,IV,,A,5000,
Di-isobutyryl peroxit (> 50%),Di-isobutyryl peroxide (> 50%),3437-84-1,C8H14O4,IV,,A,10000,
Di-n-propylperoxy dicacbonat (> 80%),Di-n-propylperoxy dicarbonate (> 80%),16066-38-9,C8H14O6,IV,,A,10000,
Di-sec-butyl peroxydicacbonat (> 80%),Di-sec-butyl peroxydicarbonate (> 80%),19910-65-7,C10H18O6,IV,,A,10000,
Dialifos,Dialifos,10311-84-9,C14H17CINO4PS2,IV,,A,50000,
Diazo dinitro phenol,Diazodinitrophenol,87-31-0,C6H2N4O5,IV,,A,10000,
